id,sentence,subject_entity,object_entity,label,source
81,"그는 2002년부터 2003년까지 노르웨이의 로센보르그 BK에서 뛰었고, 2003년에 러시아 프리미어리그의 FC 루빈 카잔으로 이적했다.","{'word': '로센보르그 BK', 'start_idx': 25, 'end_idx': 32, 'type': 'ORG'}","{'word': '2003', 'start_idx': 11, 'end_idx': 14, 'type': 'DAT'}",no_relation,wikipedia
85,"강진 아르코 공연연습장은 전라남도 강진군 대구면 저두리 66번지에 위치하고 있으며, 2005년 문화체육관광부와 강진군의 자금으로 전라남도 강진군 대구면 저두리의 폐교를 리모델링하여 설립되었다.","{'word': '강진군', 'start_idx': 19, 'end_idx': 21, 'type': 'ORG'}","{'word': '전라남도', 'start_idx': 14, 'end_idx': 17, 'type': 'LOC'}",org:place_of_headquarters,wikipedia
86,모델 김원중과 곽지영이 방송에서 신혼부부를 공개했다.,"{'word': '곽지영', 'start_idx': 8, 'end_idx': 10, 'type': 'PER'}","{'word': '김원중', 'start_idx': 3, 'end_idx': 5, 'type': 'PER'}",per:spouse,wikitree
89,"1954년 제네바 협정에 따라, 베트남은 북위 17도를 일시적으로 통치하고 선거를 통해 통일 정부를 수립하기로 결정했다.","{'word': '베트남', 'start_idx': 18, 'end_idx': 20, 'type': 'ORG'}","{'word': '1954년', 'start_idx': 0, 'end_idx': 4, 'type': 'DAT'}",no_relation,wikipedia
90,"신익희 비서나 신창현 비서관에 따르면 이승만은 이시영의 손자들을 보며 ""눈물이 또 났다""고 말했다.","{'word': '이시영', 'start_idx': 26, 'end_idx': 28, 'type': 'PER'}","{'word': '이승만', 'start_idx': 21, 'end_idx': 23, 'type': 'PER'}",no_relation,wikipedia
92,"드러머 로저 테일러는 2013년 12월에 그와 기타리스트 브라이언 메이가 ""함께...우리가 새해에 가지고 있는 것을 끝내면, 우리는 어떤 종류의 앨범을 만들 것입니다,""라고 그는 그것에 대해 말했다.","{'word': '로저 테일러', 'start_idx': 4, 'end_idx': 9, 'type': 'PER'}","{'word': '드러머', 'start_idx': 0, 'end_idx': 2, 'type': 'POH'}",per:title,wikipedia
95,24일 익산시에 따르면 정헌율 익산시장은 이날 열린 임원회의에서 어린이집 개원 연기를 검토하려면 관계기관과 협의해 달라.,"{'word': '익산시', 'start_idx': 4, 'end_idx': 6, 'type': 'ORG'}","{'word': '정헌율', 'start_idx': 13, 'end_idx': 15, 'type': 'PER'}",org:top_members/employees,wikitree
96,"1987년 대통령에서 김영삼 전 대통령과 김대중 전 대통령과 김종필 자민련 총재 대통령과 패배로 선출되었다 36%로 노태우, 선거 투표.","{'word': '김대중', 'start_idx': 23, 'end_idx': 25, 'type': 'PER'}","{'word': '1987년', 'start_idx': 0, 'end_idx': 4, 'type': 'DAT'}",no_relation,wikipedia
97,영광군(군수 김준성)은 5일 주식회사 반석(대표 오규석)과 농산물 구매협약 및 판로확대 업무협약을 체결했다.,"{'word': '영광군', 'start_idx': 0, 'end_idx': 2, 'type': 'ORG'}","{'word': '김준성', 'start_idx': 7, 'end_idx': 9, 'type': 'PER'}",org:top_members/employees,wikitree
99,2007년 12월 3일 울산방송(ubc)이 주관하는 대선후보 경청대회에 네 번째로 출연한 무소속 이회창 후보는 자신의 대표 공약인 지방분권형 연방제도와 울산시가 추진하는 산업특별자치시의 모습을 이렇게 말했다.,"{'word': '울산방송', 'start_idx': 13, 'end_idx': 16, 'type': 'ORG'}","{'word': 'ubc', 'start_idx': 18, 'end_idx': 20, 'type': 'ORG'}",org:alternate_names,wikipedia
100,이듬해인 1997년 부상에서 회복하며 시즌을 시작했지만 7월 1일 요미우리전에서 내야 땅볼을 친 뒤 1루수 기요하라 가즈히로와 부딪혀 왼쪽 무릎에 타박상을 입었다.,"{'word': '기요하라 가즈히로', 'start_idx': 60, 'end_idx': 68, 'type': 'PER'}","{'word': '1루수', 'start_idx': 56, 'end_idx': 58, 'type': 'POH'}",per:title,wikipedia
102,1959년 한국전쟁으로 폐교되었던 대성여자중학교가 부활하여 1960년 대성여자고등학교가 설립되었다.,"{'word': '대성여자중학교', 'start_idx': 19, 'end_idx': 25, 'type': 'ORG'}","{'word': '1959년', 'start_idx': 0, 'end_idx': 4, 'type': 'DAT'}",org:dissolved,wikipedia
103,서울시 퇴직공무원 상록수자원봉사단은 공무원연금공단 서울지부(위원장 정남준) 주관으로 2019년 4월 결성돼 제100회 서울체전과 제39회 전국체전 개최를 위한 봉사활동에 적극 참여했다.,"{'word': '공무원연금공단', 'start_idx': 20, 'end_idx': 26, 'type': 'ORG'}","{'word': '정남준', 'start_idx': 37, 'end_idx': 39, 'type': 'PER'}",org:top_members/employees,wikitree
104,"1856년, 이스트 앨라배마 남자 대학은 주의 승인으로 오번 시에 지어졌고, 1859년에 오번 대학교로 이름이 바뀌었고, 오번 시는 본격적인 대학 마을로 발전했습니다.","{'word': '오번 대학교', 'start_idx': 50, 'end_idx': 55, 'type': 'ORG'}","{'word': '1856년', 'start_idx': 0, 'end_idx': 4, 'type': 'DAT'}",org:founded,wikipedia
107,고양시청 종합상황실은 연휴기간 민원콜센터(031-909-9000)와 교통·버스 상황실(031-8075-2017/교통:1577-0961)을 운영하고 재난상황실(031-8075-2119)은 24시간 운영된다.,"{'word': '고양시', 'start_idx': 0, 'end_idx': 2, 'type': 'ORG'}","{'word': '031-909-9000', 'start_idx': 23, 'end_idx': 34, 'type': 'NOH'}",no_relation,wikitree
108,라멜로프는 2004년 11월 3일 로마 스타디오 올림피코에서 열린 AS 로마와의 UEFA 챔피언스리그 2004-05 경기에서 AS 로마 프란체스코 토티와 맞붙었다.,"{'word': 'AS 로마', 'start_idx': 37, 'end_idx': 41, 'type': 'ORG'}","{'word': '스타디오 올림피코', 'start_idx': 22, 'end_idx': 30, 'type': 'POH'}",no_relation,wikipedia
109,"당시 김신영은 48kg이다. 골반이 조금 작아졌지만 크게 달라진 것은 없다고 그는 말했다. ""이것은 애니메이션 '인크레더블' 몸매입니다.""","{'word': '김신영', 'start_idx': 3, 'end_idx': 5, 'type': 'PER'}","{'word': '48kg', 'start_idx': 8, 'end_idx': 11, 'type': 'NOH'}",no_relation,wikitree
110,"하지만, 그는 2014 FA컵 32강과 16강전에서 연속 2골을 넣으며 그의 잠재력을 증명했고, 그 후 K리그 클래식에서 좌우 윙어와 윙백 포지션을 가리지 않고 꾸준히 뛰었고, 2014년 9월 11일 성남 FC와의 원정 경기에서 리그 데뷔 골을 넣었다.","{'word': '성남 FC', 'start_idx': 112, 'end_idx': 116, 'type': 'ORG'}","{'word': '2014', 'start_idx': 8, 'end_idx': 11, 'type': 'DAT'}",no_relation,wikipedia
117,또 김영삼 정부 출범 직후인 1993년 4월 2일 서울 용산구 동빙고동의 한 군인아파트에서 익명의 장병들이 하나회 명단을 배포했다.,"{'word': '김영삼', 'start_idx': 2, 'end_idx': 4, 'type': 'PER'}","{'word': '1993년', 'start_idx': 16, 'end_idx': 20, 'type': 'DAT'}",no_relation,wikipedia
118,"1949, 1950년 파리와 바르샤바에서 열린 세계평화회의에 참가한 그는 중국 공산당 창당 이후 부총리 겸 과학부장, 중국문예협회장, 마오쩌둥의 이념과 문학노선의 조력자로 활동했다.","{'word': '마오쩌둥', 'start_idx': 75, 'end_idx': 78, 'type': 'PER'}","{'word': '중국 공산당', 'start_idx': 41, 'end_idx': 46, 'type': 'ORG'}",per:employee_of,wikipedia
119,심재철 자유한국당 원내대표가 16일 문희상 국회의장을 '불행한 처제'로 평가하며 사퇴 촉구 결의안을 만들겠다고 밝혔다.,"{'word': '심재철', 'start_idx': 0, 'end_idx': 2, 'type': 'PER'}","{'word': '자유한국당', 'start_idx': 4, 'end_idx': 8, 'type': 'ORG'}",per:employee_of,wikitree
120,"게다가, 성윤모 산업통상자원부 장관은 일본의 경제 및 산업계 인사 히로시게 세코의 트윗에서 페이스북을 소개했다.","{'word': '산업통상자원부', 'start_idx': 9, 'end_idx': 15, 'type': 'ORG'}","{'word': '성윤모', 'start_idx': 5, 'end_idx': 7, 'type': 'PER'}",org:top_members/employees,wikitree
122,"정동균 양평군수는 ""향후 새해를 맞아 주민들의 생생한 목소리를 듣고 양평군이 나아가야 할 방향을 모색할 수 있는 소중한 곳에 많은 주민들의 참여를 부탁한다""고 말했다.","{'word': '양평군', 'start_idx': 4, 'end_idx': 6, 'type': 'ORG'}","{'word': '정동균', 'start_idx': 0, 'end_idx': 2, 'type': 'PER'}",org:top_members/employees,wikitree
125,그룹 소녀시대의 전 멤버인 제시카가 중국 경영진에 의해 20억 원의 고소를 당했다.,"{'word': '소녀시대', 'start_idx': 3, 'end_idx': 6, 'type': 'PER'}","{'word': '제시카', 'start_idx': 15, 'end_idx': 17, 'type': 'PER'}",per:origin,wikitree
127,"공무원연금공단(이사장 정남준)은 15일 공단 제주본부에서 지역사회 간 소통의 장을 마련하기 위해 ""다 함께!""라고 밝혔다. The Value! Win-Win 2019"" 행사가 열렸습니다.","{'word': '공무원연금공단', 'start_idx': 0, 'end_idx': 6, 'type': 'ORG'}","{'word': '정남준', 'start_idx': 12, 'end_idx': 14, 'type': 'PER'}",org:top_members/employees,wikitree
131,고흥군(군수 송귀근)이 일자리 창출과 지역 성장동력 확보를 위해 2021년 국가예산 신규사업 발굴에 총력을 기울이고 있다.,"{'word': '고흥군', 'start_idx': 0, 'end_idx': 2, 'type': 'ORG'}","{'word': '송귀근', 'start_idx': 7, 'end_idx': 9, 'type': 'PER'}",org:top_members/employees,wikitree
135,한편 러시아의 경우 올 3월부터 러시아 조치로 인천-모스크바 간 정기편이 운항이 중단돼 러시아 입국을 원하는 국내 기업인과 학생들의 수요가 몰리고 있다.,"{'word': '러시아', 'start_idx': 3, 'end_idx': 5, 'type': 'ORG'}","{'word': '모스크바', 'start_idx': 29, 'end_idx': 32, 'type': 'LOC'}",org:members,policy_briefing
142,"2018년 2월 8일, 스테판 무고샤는 대한민국 K리그1의 인천 유나이티드 FC로 완전 이적하여, 그의 선수 경력 사상 처음으로 유럽 밖을 나가게 되었다.","{'word': '인천 유나이티드 FC', 'start_idx': 33, 'end_idx': 43, 'type': 'ORG'}","{'word': 'K리그1', 'start_idx': 27, 'end_idx': 30, 'type': 'ORG'}",org:member_of,wikipedia
143,"장성군은 2일 유두석 장성군수와 이개호 농림축산식품부 장관, 김한종 전남도의회 의원이 국무총리실을 방문해 이낙연 국무총리에게 KTX장성역에 정차할 것을 건의했다고 밝혔다.o혈관 센터.","{'word': '이개호', 'start_idx': 18, 'end_idx': 20, 'type': 'PER'}","{'word': '이낙연', 'start_idx': 59, 'end_idx': 61, 'type': 'PER'}",no_relation,wikitree
144,"이현성은 주로 중앙 미드필더로 활동했지만, 때때로 측면 미드필더로 뛰었다.","{'word': '이현성', 'start_idx': 0, 'end_idx': 2, 'type': 'PER'}","{'word': '미드필더', 'start_idx': 11, 'end_idx': 14, 'type': 'POH'}",per:title,wikipedia
145,"하지만, 한국이 16강에 진출하는 동안, 조선민주주의인민공화국은 특히 포르투갈에게 7골을 내주고 브라질의 나머지 국가들과 연속해서 패배한 후, 토너먼트에서 꼴찌를 했다.","{'word': '브라질', 'start_idx': 54, 'end_idx': 56, 'type': 'ORG'}","{'word': '조선민주주의', 'start_idx': 23, 'end_idx': 28, 'type': 'ORG'}",no_relation,wikipedia
148,그는 2018년부터 SK 와이번스의 전력 분석가였다.,"{'word': 'SK 와이번스', 'start_idx': 11, 'end_idx': 17, 'type': 'ORG'}","{'word': '2018년', 'start_idx': 3, 'end_idx': 7, 'type': 'DAT'}",no_relation,wikipedia
149,"1987년 1월 2일 광신고등학교가 36학급 설립인가를 받았으며, 1987년 3월 3일 관악구 삼성동 328번지에 12학급 706명으로 개교하였다.","{'word': '광신고등학교', 'start_idx': 12, 'end_idx': 17, 'type': 'ORG'}","{'word': '1987년', 'start_idx': 0, 'end_idx': 4, 'type': 'DAT'}",org:founded,wikipedia
152,"헌강왕(憲康王, 875년 ~ 886년)은 신라의 49대 왕이다.","{'word': '헌강왕', 'start_idx': 0, 'end_idx': 2, 'type': 'PER'}","{'word': '875년', 'start_idx': 9, 'end_idx': 12, 'type': 'DAT'}",no_relation,wikipedia
153,민생당 박주선(광주 남구·동구) 의원은 30일 국립아시아문화원의 안정적인 운영을 위해 국가기관 정비를 추진하겠다고 밝혔다.,"{'word': '박주선', 'start_idx': 4, 'end_idx': 6, 'type': 'PER'}","{'word': '민생당', 'start_idx': 0, 'end_idx': 2, 'type': 'ORG'}",per:employee_of,wikitree
154,"창립 기타리스트 힐렐 슬로박의 죽음과 드러머 잭 아이언스의 탈퇴 후, 보컬 앤서니 키디스와 베이시스트 플리는 기타리스트 존 프루시안테와 드러머 채드 스미스의 합류로 재회했다.","{'word': '잭 아이언스', 'start_idx': 25, 'end_idx': 30, 'type': 'PER'}","{'word': '드러머', 'start_idx': 21, 'end_idx': 23, 'type': 'POH'}",per:title,wikipedia
155,"김경징이 처형되지 않고 유배되자 신하들은 김경징과 강화대장군을 죽여야 한다고 완강히 주장했고, 결국 1637년 2월 22일 인조는 김경징과 그의 장신에게 사약을 만들었다.","{'word': '김경징', 'start_idx': 0, 'end_idx': 2, 'type': 'PER'}","{'word': '1637년 2월 22일', 'start_idx': 56, 'end_idx': 67, 'type': 'DAT'}",per:date_of_death,wikipedia
158,"5일 SBS 보도에 따르면 서수길 대표는 최근 아프리카TV BJ 김인호(김영진)의 생방송 도중 채팅창을 통해 대상 수상에 실패했다. 말썽을 부릴 수 있어요. 노력하면 실수를 할 수 있습니다.""라고 그가 말했습니다.","{'word': '아프리카TV', 'start_idx': 26, 'end_idx': 31, 'type': 'ORG'}","{'word': '서수길', 'start_idx': 15, 'end_idx': 17, 'type': 'PER'}",org:top_members/employees,wikitree
159,30일 후쿠오카 소프트뱅크 호크스의 패배로 2008년 이후 10년 만에 리그 우승을 확정지었다.,"{'word': '후쿠오카 소프트뱅크 호크스', 'start_idx': 4, 'end_idx': 17, 'type': 'ORG'}","{'word': '2008', 'start_idx': 24, 'end_idx': 27, 'type': 'DAT'}",no_relation,wikipedia
160,바이에른과 뉘른베르크의 대결은 종종 바이에른 더비라고 불린다.,"{'word': '뉘른베르크', 'start_idx': 6, 'end_idx': 10, 'type': 'ORG'}","{'word': '바이에른', 'start_idx': 0, 'end_idx': 3, 'type': 'ORG'}",no_relation,wikipedia
162,탤런트 강은탁(37신슬기) 씨의 어머니 A 씨는 200여 명으로부터 사기 혐의로 기소됐다.,"{'word': '강은탁', 'start_idx': 4, 'end_idx': 6, 'type': 'PER'}","{'word': '신슬기', 'start_idx': 10, 'end_idx': 12, 'type': 'PER'}",per:alternate_names,wikitree
163,부산과학기술대학교(총장 강기성)는 2일 중소벤처기업부가 주관하는 기술담당관 양성사업에 참여한 졸업생 전원이 취업에 성공했다고 밝혔다.,"{'word': '부산과학기술대학교', 'start_idx': 0, 'end_idx': 8, 'type': 'ORG'}","{'word': '강기성', 'start_idx': 13, 'end_idx': 15, 'type': 'PER'}",org:top_members/employees,wikitree
166,"이후 온양중학교 야구부 감독을 맡았고 2011년 4월 서울 해치에 입단해 재기를 노렸지만, 팀은 그해 마지막으로 간사이 독립리그에서 탈퇴하며 해치에서의 활동을 끝냈다.","{'word': '서울 해치', 'start_idx': 30, 'end_idx': 34, 'type': 'ORG'}","{'word': '2011년', 'start_idx': 21, 'end_idx': 25, 'type': 'DAT'}",no_relation,wikipedia
167,"그는 이어 6월 항쟁의 미완성으로 민주주의에 차질을 빚었다. ""촛불 혁명을 통해 국민에 의해 만들어진 문재인 정부는 반드시 성공해야 한다""고 그는 말했다. ""우리는 반드시 정치 혁신과 광주의 꿈을 통해 대한민국을 바꾸기를 꿈꿨던 국민들의 소원을 이룰 것입니다.""","{'word': '문재인', 'start_idx': 57, 'end_idx': 59, 'type': 'PER'}","{'word': '대한민국', 'start_idx': 113, 'end_idx': 116, 'type': 'LOC'}",per:place_of_residence,wikitree
169,'COVID-19'로 우울한 사회 분위기 속에서 배우 김우빈(김현중)이 가벼운 소식을 전했다.,"{'word': '김우빈', 'start_idx': 30, 'end_idx': 32, 'type': 'PER'}","{'word': '김현중', 'start_idx': 34, 'end_idx': 36, 'type': 'PER'}",per:alternate_names,wikitree
171,이는 후진타오 주석과 장쩌민 주석이 임기 내에 하지 못한 전례 없는 사건이었다.,"{'word': '후진타오', 'start_idx': 3, 'end_idx': 6, 'type': 'PER'}","{'word': '장쩌민', 'start_idx': 12, 'end_idx': 14, 'type': 'PER'}",no_relation,wikipedia
172,"소크라테스는 ""젊은이를 타락시키고 신을 믿지 않는 것""으로 기소되었지만, 기원전 399년 소크라테스가 기소되었을 때, 펠로폰네소스 전쟁이 계속되었다는 점에서, 그의 평소의 가르침이 민주주의를 훼손했다고 판단하는 정치적 이유가 더 컸다.","{'word': '소크라테스', 'start_idx': 0, 'end_idx': 4, 'type': 'PER'}","{'word': '기원전 399년', 'start_idx': 41, 'end_idx': 48, 'type': 'DAT'}",no_relation,wikipedia
173,보르헤스의 조카인 스바토 지보이 2세는 공작을 지지하는 볼레스와프 3세 브라이머스 폴란드인 제설원과 함께 계속하는 것에 반대했다.,"{'word': '볼레스와프 3세', 'start_idx': 31, 'end_idx': 38, 'type': 'PER'}","{'word': '폴란드', 'start_idx': 46, 'end_idx': 48, 'type': 'LOC'}",no_relation,wikipedia
174,1988년 제13대 총선에서 김영삼은 통일민주당 당원으로 당선되어 통일민주당 부총재를 지냈다.,"{'word': '통일민주당', 'start_idx': 21, 'end_idx': 25, 'type': 'ORG'}","{'word': '김영삼', 'start_idx': 16, 'end_idx': 18, 'type': 'PER'}",org:top_members/employees,wikipedia
175,"김영삼의 계보에 정치활동을 해 최형우와 함께 상도동의 대표적인 가신그룹으로 꼽히며 좌동영, 우형우로 불렸다.","{'word': '김영삼', 'start_idx': 0, 'end_idx': 2, 'type': 'PER'}","{'word': '상도동', 'start_idx': 25, 'end_idx': 27, 'type': 'LOC'}",no_relation,wikipedia
